,decile_rank,min_prob,max_prob,count_F,count_M,Total,F_percent,M_percent,KS
0,0,0.2045929863638133,0.5298597445339835,928,823,1751,52.99828669331811,47.00171330668189,5.996573386636214
1,1,0.5298719488058281,0.5877155547856825,760,986,1746,43.52806414662085,56.47193585337915,12.943871706758301
2,2,0.5877184821435179,0.6168702685032873,704,1044,1748,40.274599542334094,59.725400457665906,19.45080091533181
3,3,0.6168847458869997,0.6363525283597731,682,1068,1750,38.97142857142857,61.02857142857143,22.057142857142864
4,4,0.6363529385339386,0.6508046223556891,601,1145,1746,34.42153493699885,65.57846506300115,31.156930126002294
5,5,0.6508083087097404,0.6828365074671475,560,1188,1748,32.036613272311214,67.96338672768879,35.92677345537757
6,6,0.6828681985579946,0.6999546537653046,555,1193,1748,31.75057208237986,68.24942791762014,36.49885583524028
7,7,0.6999546598130081,0.7226657401978437,501,1247,1748,28.66132723112128,71.33867276887872,42.677345537757446
8,8,0.7226931541715188,0.767118339532445,444,1304,1748,25.40045766590389,74.59954233409611,49.19908466819223
9,9,0.7671638557652254,0.9636186289721911,312,1437,1749,17.838765008576328,82.16123499142367,64.32246998284734
